CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
214360-73-3,1.05,100,DCM,400,60/40,10,2024-12-01_21-01-42.xlsx,CN,561,1278,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,561,1278
214360-73-3,1.05,100,DCM,400,50/50,10,2024-12-01_21-06-59.xlsx,CN,621,2130,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,621,2130
591-50-4,1.823,100,DCM,400,90/10,10,2024-12-02_14-36-42.xlsx,CN,529,1176,C1=CC=C(C=C1)I,529,1176
591-50-4,1.823,100,DCM,400,80/20,10,2024-12-02_14-40-34.xlsx,CN,539,1289,C1=CC=C(C=C1)I,539,1289
591-50-4,1.823,100,DCM,400,70/30,10,2024-12-02_14-44-31.xlsx,CN,553,1305,C1=CC=C(C=C1)I,553,1305
591-50-4,1.823,100,DCM,400,60/40,10,2024-12-02_14-50-28.xlsx,CN,560,2525,C1=CC=C(C=C1)I,560,2525
591-50-4,1.823,100,DCM,400,50/50,10,2024-12-02_15-01-17.xlsx,CN,558,5426,C1=CC=C(C=C1)I,558,5426
103-36-6,1.049,100,DCM,400,90/10,10,2024-12-02_15-06-12.xlsx,CN,296,1380,CCOC(=O)/C=C/C1=CC=CC=C1,296,1380
103-36-6,1.049,100,DCM,400,80/20,10,2024-12-02_15-10-55.xlsx,CN,509,1769,CCOC(=O)/C=C/C1=CC=CC=C1,509,1769
103-36-6,1.049,100,DCM,400,70/30,10,2024-12-02_15-16-12.xlsx,CN,526,2140,CCOC(=O)/C=C/C1=CC=CC=C1,526,2140
103-36-6,1.049,100,DCM,400,60/40,10,2024-12-02_15-25-35.xlsx,CN,546,4558,CCOC(=O)/C=C/C1=CC=CC=C1,546,4558
103-36-6,1.049,100,DCM,400,50/50,10,2024-12-02_15-36-24.xlsx,CN,603,5448,CCOC(=O)/C=C/C1=CC=CC=C1,603,5448
941-98-0,1.12,100,DCM,400,90/10,10,2024-12-02_15-52-04.xlsx,CN,281,1316,CC(=O)C1=CC=CC2=CC=CC=C21,281,1316
941-98-0,1.12,100,DCM,400,80/20,10,2024-12-02_15-55-56.xlsx,CN,521,1250,CC(=O)C1=CC=CC2=CC=CC=C21,521,1250
941-98-0,1.12,100,DCM,400,70/30,10,2024-12-02_16-00-58.xlsx,CN,533,1971,CC(=O)C1=CC=CC2=CC=CC=C21,533,1971
941-98-0,1.12,100,DCM,400,60/40,10,2024-12-02_16-07-15.xlsx,CN,550,2718,CC(=O)C1=CC=CC2=CC=CC=C21,550,2718
941-98-0,1.12,100,DCM,400,50/50,10,2024-12-02_16-17-09.xlsx,CN,609,4853,CC(=O)C1=CC=CC2=CC=CC=C21,609,4853
100-52-7,1.044,100,DCM,400,90/10,10,2024-12-02_16-22-00.xlsx,CN,278,1431,C1=CC=C(C=C1)C=O,278,1431
100-52-7,1.044,100,DCM,400,80/20,10,2024-12-02_16-26-12.xlsx,CN,514,1493,C1=CC=C(C=C1)C=O,514,1493
100-52-7,1.044,100,DCM,400,70/30,10,2024-12-02_16-31-29.xlsx,CN,518,2100,C1=CC=C(C=C1)C=O,518,2100
100-52-7,1.044,100,DCM,400,60/40,10,2024-12-02_16-36-12.xlsx,CN,538,1787,C1=CC=C(C=C1)C=O,538,1787
100-52-7,1.044,100,DCM,400,50/50,10,2024-12-02_16-41-34.xlsx,CN,577,2150,C1=CC=C(C=C1)C=O,577,2150
92-52-4,0.992,100,DCM,400,90/10,10,2024-12-02_16-50-10.xlsx,CN,437,1571,C1=CC=C(C=C1)C2=CC=CC=C2,437,1571
92-52-4,0.992,100,DCM,400,80/20,10,2024-12-02_17-01-13.xlsx,CN,336,1897,C1=CC=C(C=C1)C2=CC=CC=C2,336,1897
92-52-4,0.992,100,DCM,400,70/30,10,2024-12-02_17-07-30.xlsx,CN,548,2702,C1=CC=C(C=C1)C2=CC=CC=C2,548,2702
92-52-4,0.992,100,DCM,400,60/40,10,2024-12-02_17-26-57.xlsx,CN,571,10579,C1=CC=C(C=C1)C2=CC=CC=C2,571,10579
92-52-4,0.992,100,DCM,400,50/50,10,2024-12-02_17-30-27.xlsx,CN,283,790,C1=CC=C(C=C1)C2=CC=CC=C2,283,790
93-98-1,1.315,100,MeOH,400,90/10,10,2024-12-02_17-34-04.xlsx,CN,539,1126,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,539,1126
93-98-1,1.315,100,MeOH,400,80/20,10,2024-12-02_17-38-01.xlsx,CN,537,1326,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,537,1326
93-98-1,1.315,100,MeOH,400,70/30,10,2024-12-02_17-42-28.xlsx,CN,542,1619,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,542,1619
93-98-1,1.315,100,MeOH,400,60/40,10,2024-12-02_17-46-30.xlsx,CN,566,1351,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,566,1351
93-98-1,1.315,100,MeOH,400,50/50,10,2024-12-02_18-22-15.xlsx,CN,337,621,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,337,621
123-31-9,1.32,100,MeOH,400,90/10,10,2024-12-02_18-25-17.xlsx,CN,560,772,C1=CC(=CC=C1O)O,560,772
123-31-9,1.32,100,MeOH,400,80/20,10,2024-12-02_18-28-23.xlsx,CN,544,845,C1=CC(=CC=C1O)O,544,845
123-31-9,1.32,100,MeOH,400,70/30,10,2024-12-02_18-31-45.xlsx,CN,552,964,C1=CC(=CC=C1O)O,552,964
123-31-9,1.32,100,MeOH,400,60/40,10,-,CN,,,C1=CC(=CC=C1O)O,,
123-31-9,1.32,100,MeOH,400,50/50,10,2024-12-02_18-55-00.xlsx,CN,377,737,C1=CC(=CC=C1O)O,377,737
100-41-4,0.867,100,DCM,400,90/10,10,2024-12-02_19-06-15.xlsx,CN,379,604,CCC1=CC=CC=C1,379,604
100-41-4,0.867,100,DCM,400,80/20,10,2024-12-02_19-09-37.xlsx,CN,543,973,CCC1=CC=CC=C1,543,973
100-41-4,0.867,100,DCM,400,70/30,10,2024-12-02_19-13-19.xlsx,CN,588,1170,CCC1=CC=CC=C1,588,1170
100-41-4,0.867,100,DCM,400,60/40,10,2024-12-02_19-49-05.xlsx,CN,630,1763,CCC1=CC=CC=C1,630,1763
100-41-4,0.867,100,DCM,400,50/50,10,2024-12-02_19-56-48.xlsx,CN,1053,3588,CCC1=CC=CC=C1,1053,3588
106-23-0,0.857,100,DCM,400,90/10,10,2024-12-02_20-08-08.xlsx,CN,545,902,CC(CCC=C(C)C)CC=O,545,902
106-23-0,0.857,100,DCM,400,80/20,10,2024-12-02_20-11-10.xlsx,CN,564,782,CC(CCC=C(C)C)CC=O,564,782
106-23-0,0.857,100,DCM,400,70/30,10,2024-12-02_20-14-27.xlsx,CN,625,916,CC(CCC=C(C)C)CC=O,625,916
106-23-0,0.857,100,DCM,400,60/40,10,2024-12-02_20-18-13.xlsx,CN,882,1247,CC(CCC=C(C)C)CC=O,882,1247
106-23-0,0.857,100,DCM,400,50/50,10,2024-12-02_20-22-41.xlsx,CN,1887,1984,CC(CCC=C(C)C)CC=O,1887,1984
65-85-0,1.08,100,MeOH,400,90/10,10,2024-12-02_20-26-06.xlsx,CN,277,844,C1=CC=C(C=C1)C(=O)O,277,844
65-85-0,1.08,100,MeOH,400,80/20,10,2024-12-02_20-29-22.xlsx,CN,540,903,C1=CC=C(C=C1)C(=O)O,540,903
65-85-0,1.08,100,MeOH,400,70/30,10,2024-12-02_20-33-09.xlsx,CN,545,1247,C1=CC=C(C=C1)C(=O)O,545,1247
65-85-0,1.08,100,MeOH,400,60/40,10,2024-12-02_20-37-41.xlsx,CN,549,1686,C1=CC=C(C=C1)C(=O)O,549,1686
65-85-0,1.08,100,MeOH,400,50/50,10,2024-12-02_20-43-14.xlsx,CN,553,2251,C1=CC=C(C=C1)C(=O)O,553,2251
329-15-7,1.404,100,DCM,400,90/10,10,2024-12-03_09-22-22.xlsx,CN,327,1077,C1=CC(=CC=C1C(=O)Cl)C(F)(F)F,327,1077
329-15-7,1.404,100,DCM,400,80/20,10,2024-12-03_09-26-19.xlsx,CN,536,1344,C1=CC(=CC=C1C(=O)Cl)C(F)(F)F,536,1344
329-15-7,1.404,100,DCM,400,70/30,10,2024-12-03_09-29-56.xlsx,CN,553,1105,C1=CC(=CC=C1C(=O)Cl)C(F)(F)F,553,1105
329-15-7,1.404,100,DCM,400,60/40,10,2024-12-03_09-35-38.xlsx,CN,570,2398,C1=CC(=CC=C1C(=O)Cl)C(F)(F)F,570,2398
329-15-7,1.404,100,DCM,400,50/50,10,2024-12-03_09-45-57.xlsx,CN,846,5140,C1=CC(=CC=C1C(=O)Cl)C(F)(F)F,846,5140
100-50-5,0.94,100,DCM,400,90/10,10,2024-12-03_09-49-13.xlsx,CN,276,819,C1CC(CC=C1)C=O,276,819
100-50-5,0.94,100,DCM,400,80/20,10,2024-12-03_10-19-48.xlsx,CN,-1,-1,C1CC(CC=C1)C=O,-1,-1
100-50-5,0.94,100,DCM,400,70/30,10,2024-12-03_10-22-55.xlsx,CN,606,810,C1CC(CC=C1)C=O,606,810
100-50-5,0.94,100,DCM,400,60/40,10,2024-12-03_10-26-17.xlsx,CN,740,998,C1CC(CC=C1)C=O,740,998
100-50-5,0.94,100,DCM,400,50/50,10,2024-12-03_10-30-13.xlsx,CN,914,1301,C1CC(CC=C1)C=O,914,1301
