214360-58-4,"2-(4-Fluorophenyl)-4,4,5,5-tetramethyl-1,3,2-dioxaborolane",B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)F,95-13-6,Indene,C1C=CC2=CC=CC=C21,2042-37-7,2-Bromobenzonitrile,C1=CC=C(C(=C1)C#N)Br,529-34-0,1-Tetralone,C1CC2=CC=CC=C2C(=O)C1,622-08-2,2-Benzyloxyethanol,C1=CC=C(C=C1)COCCO,2550-26-7,Benzylacetone,CC(=O)CCC1=CC=CC=C1,104-20-1,4-(4-Methoxyphenyl)-2-butanone,CC(=O)CCC1=CC=C(C=C1)OC,330793-01-6,4-(N-Boc-amino)phenylboronic acid pinacol ester,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)NC(=O)OC(C)(C)C
101-97-3,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1,106-42-3,p-Xylene,CC1=CC=C(C=C1)C,15764-16-6,"2,4-Dimethylbenzaldehyde",CC1=CC(=C(C=C1)C=O)C,3446-89-7,4-(Methylthio)benzaldehyde,CSC1=CC=C(C=C1)C=O,106-24-1,Geraniol,CC(=CCC/C(=C/CO)/C)C,4192-77-2,ethyl-(E)-cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1,1009-14-9,Valerophenone,CCCCC(=O)C1=CC=CC=C1,62-53-3,Aniline,C1=CC=C(C=C1)N
1009-14-9,Valerophenone,CCCCC(=O)C1=CC=CC=C1,622-24-2,(2-Chloroethyl)benzen,C1=CC=C(C=C1)CCCl,1667-01-2,"2',4',6'-TRIMETHYLACETOPHENONE",CC1=CC(=C(C(=C1)C)C(=O)C)C,529-20-4,2-Methylbenzaldehyde,CC1=CC=CC=C1C=O,1008-89-5,2-Phenylpyridine,C1=CC=C(C=C1)C2=CC=CC=N2,6099-03-2,2-Methoxycinnamic acid,COC1=CC=CC=C1/C=C/C(=O)O,4180-23-8,trans-Anethole,C/C=C/C1=CC=C(C=C1)OC,101-97-3,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1
577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,98-85-1,DL-1-Phenethylalcohol,CC(C1=CC=CC=C1)O,55745-70-5,"2,3-Dihydrobenzo[b]furan-5-carbaldehyde",C1COC2=C1C=C(C=C2)C=O,22532-62-3,4-Bromo-2-hydroxybenzaldehyde,C1=CC(=C(C=C1Br)O)C=O,702-23-8,4-METHOXYPHENETHYL ALCOHOL,COC1=CC=C(C=C1)CCO,70-34-8,"2,4-Dinitrofluorobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F,100-86-7,2-Methyl-1-phenyl-2-propanol,CC(C)(CC1=CC=CC=C1)O,1694-31-1,tert-Butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C
48145-04-6,2-PHENOXYETHYL ACRYLATE,C=CC(=O)OCCOC1=CC=CC=C1,100-66-3,Anisole,COC1=CC=CC=C1,17610-00-3,"3,5-Bis(tert-butyl)benzaldehyde",CC(C)(C)C1=CC(=CC(=C1)C=O)C(C)(C)C,99-90-1,4'-Bromoacetophenone,CC(=O)C1=CC=C(C=C1)Br,501-52-0,3-Phenylpropionic acid,C1=CC=C(C=C1)CCC(=O)O??,372-29-2,"Ethyl 3-amino-4,4,4-trifluorocrotonate",CCOC(=O)/C=C(/C(F)(F)F)\N,580-13-2,"	2-Bromonaphthalene",C1=CC=C2C=C(C=CC2=C1)Br,2550-26-7,Benzylacetone,CC(=O)CCC1=CC=CC=C1
93-89-0,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1,685-87-0,DIETHYL BROMOMALONATE,CCOC(=O)C(C(=O)OCC)Br,613-91-2,Acetophenone oxime,C/C(=N\O)/C1=CC=CC=C1,451-40-1,2-Phenylacetophenone,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,83-33-0,1-Indanone,C1CC(=O)C2=CC=CC=C21??,104-47-2,4-Methoxybenzyl cyanide,COC1=CC=C(C=C1)CC#N,25574-11-2,3-(4-BROMO-PHENYL)-PROPAN-1-OL,C1=CC(=CC=C1CCCO)Br,119-36-8,Methyl salicylate,COC(=O)C1=CC=CC=C1O
105-13-5,(4-Methoxybenzyl)methanol,COC1=CC=C(C=C1)CO,103-50-4,Benzyl ether,C1=CC=C(C=C1)COCC2=CC=CC=C2,624-38-4,"1,4-Diiodobenzene",C1=CC(=CC=C1I)I,3218-36-8,4-Biphenylcarboxaldehyde,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,621-23-8,"1,3,5-Trimethoxybenzene",COC1=CC(=CC(=C1)OC)OC,645-59-0,3-PHENYLPROPIONITRILE,C1=CC=C(C=C1)CCC#N,5433-01-2,3-Bromocumene,CC(C)C1=CC(=CC=C1)Br,4192-77-2,ethyl-(E)-cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1
123-11-5,Anisic aldehyde,COC1=CC=C(C=C1)C=O,141-97-9,Ethyl acetoacetate,CCOC(=O)CC(=O)C,1126-46-1,METHYL 4-CHLOROBENZOATE,COC(=O)C1=CC=C(C=C1)Cl,3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,25574-11-2,3-(4-BROMO-PHENYL)-PROPAN-1-OL,C1=CC(=CC=C1CCCO)Br,5798-75-4,Ethyl 4-bromobenzoate,CCOC(=O)C1=CC=C(C=C1)Br,622-24-2,Phenethyl chloride,C1=CC=C(C=C1)CCCl,16642-92-5,4-(Trifluoromethyl)cinnamic acid,C1=CC(=CC=C1/C=C/C(=O)O)C(F)(F)F
2344-70-9,4-Phenyl-2-butanol,CC(CCC1=CC=CC=C1)O,104-53-0,3-Phenylprpanal,C1=CC=C(C=C1)CCC=O,22502-03-0,2-Methoxyethyl acetoacetate,CC(=O)CC(=O)OCCOC,614-47-1,trans-Chalcone,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,93-04-9,2-Methoxynaphthalene,COC1=CC2=CC=CC=C2C=C1,617-94-7,2-PHENYL-2-PROPANOL,CC(C)(C1=CC=CC=C1)O,576-83-0,"2,4,6-Trimethybromombenzene",CC1=CC(=C(C(=C1)C)Br)C,783-13-1,3-[4-(Trifluoromethoxy)phenyl]acrylic acid,C1=CC(=CC=C1/C=C/C(=O)O)OC(F)(F)F
104-52-9,1-Chloro-3-phenylpropane,C1=CC=C(C=C1)CCCCl,48145-04-6,2-PHENOXYETHYL ACRYLATE,C=CC(=O)OCCOC1=CC=CC=C1,91-13-4,"1,2-Bis(bromomethyl)benzene",C1=CC=C(C(=C1)CBr)CBr,35225-79-7,"trans,trans-Dibenzylideneacetone",C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,936-59-4,3-Chloropropiophenone,C1=CC=C(C=C1)C(=O)CCCl,702-23-8,4-METHOXYPHENETHYL ALCOHOL,COC1=CC=C(C=C1)CCO,7335-27-5,ETHYL 4-CHLOROBENZOATE,CCOC(=O)C1=CC=C(C=C1)Cl,6099-03-2,2-Methoxycinnamic acid,COC1=CC=CC=C1/C=C/C(=O)O
