CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
123-31-9,1.32,100,MeOH,400,50/50,10,2024-11-15_15-57-02.xlsx,C18,535,861,C1=CC(=CC=C1O)O,535,861
98-80-6,1.13,100,MeOH,400,90/10,10,2024-11-15_16-16-17.xlsx,C18,362,744,B(C1=CC=CC=C1)(O)O,362,744
98-80-6,1.13,100,MeOH,400,80/20,10,2024-11-15_16-19-29.xlsx,C18,541,899,B(C1=CC=CC=C1)(O)O,541,899
98-80-6,1.13,100,MeOH,400,70/30,10,2024-11-15_16-22-55.xlsx,C18,528,1049,B(C1=CC=CC=C1)(O)O,528,1049
98-80-6,1.13,100,MeOH,400,60/40,10,2024-11-15_16-26-37.xlsx,C18,538,1180,B(C1=CC=CC=C1)(O)O,538,1180
98-80-6,1.13,100,MeOH,400,50/50,10,2024-11-15_16-30-39.xlsx,C18,526,1395,B(C1=CC=CC=C1)(O)O,526,1395
123-08-0,1.129,100,MeOH,400,90/10,10,2024-11-15_17-10-52.xlsx,C18,277,1160,C1=CC(=CC=C1C=O)O,277,1160
123-08-0,1.129,100,MeOH,400,80/20,10,2024-11-15_17-14-19.xlsx,C18,474,1003,C1=CC(=CC=C1C=O)O,474,1003
123-08-0,1.129,100,MeOH,400,70/30,10,2024-11-15_17-18-46.xlsx,C18,486,1632,C1=CC(=CC=C1C=O)O,486,1632
123-08-0,1.129,100,MeOH,400,60/40,10,2024-11-15_17-24-18.xlsx,C18,491,2269,C1=CC(=CC=C1C=O)O,491,2269
123-08-0,1.129,100,MeOH,400,50/50,10,2024-11-15_17-29-10.xlsx,C18,494,1885,C1=CC(=CC=C1C=O)O,494,1885
99-96-7,1.46,100,MeOH,400,90/10,10,2024-11-15_17-50-36.xlsx,C18,278,934,C1=CC(=CC=C1C(=O)O)O,278,934
99-96-7,1.46,100,MeOH,400,80/20,10,2024-11-15_17-54-23.xlsx,C18,472,1227,C1=CC(=CC=C1C(=O)O)O,472,1227
99-96-7,1.46,100,MeOH,400,70/30,10,2024-11-15_18-00-05.xlsx,C18,479,2392,C1=CC(=CC=C1C(=O)O)O,479,2392
99-96-7,1.46,100,MeOH,400,60/40,10,2024-11-15_18-27-10.xlsx,C18,306,2061,C1=CC(=CC=C1C(=O)O)O,306,2061
99-96-7,1.46,100,MeOH,400,50/50,10,2024-11-15_18-33-02.xlsx,C18,492,2496,C1=CC(=CC=C1C(=O)O)O,492,2496
937-14-4,0.56,100,MeOH,400,90/10,10,2024-11-15_19-12-02.xlsx,C18,515,1601,C1=CC(=CC(=C1)Cl)C(=O)OO,515,1601
937-14-4,0.56,100,MeOH,400,80/20,10,2024-11-15_19-15-39.xlsx,C18,505,1143,C1=CC(=CC(=C1)Cl)C(=O)OO,505,1143
937-14-4,0.56,100,MeOH,400,70/30,10,2024-11-15_19-20-31.xlsx,C18,498,1868,C1=CC(=CC(=C1)Cl)C(=O)OO,498,1868
937-14-4,0.56,100,MeOH,400,60/40,10,2024-11-15_19-25-13.xlsx,C18,513,1780,C1=CC(=CC(=C1)Cl)C(=O)OO,513,1780
937-14-4,0.56,100,MeOH,400,50/50,10,2024-11-15_19-37-42.xlsx,C18,512,3053,C1=CC(=CC(=C1)Cl)C(=O)OO,512,3053
100-50-5,0.94,100,DCM,400,90/10,10,2024-11-15_19-43-29.xlsx,C18,393,708,C1CC(CC=C1)C=O,393,708
100-50-5,0.94,100,DCM,400,80/20,10,2024-11-15_19-59-53.xlsx,C18,577,872,C1CC(CC=C1)C=O,577,872
100-50-5,0.94,100,DCM,400,70/30,10,2024-11-15_20-03-15.xlsx,C18,587,982,C1CC(CC=C1)C=O,587,982
100-50-5,0.94,100,DCM,400,60/40,10,2024-11-15_20-07-07.xlsx,C18,1060,1270,C1CC(CC=C1)C=O,1060,1270
84-58-2,1.75,100,MeOH,400,90/10,10,2024-11-15_20-32-27.xlsx,C18,241,1234,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,241,1234
84-58-2,1.75,100,MeOH,400,80/20,10,2024-11-15_20-36-14.xlsx,C18,475,1202,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,475,1202
84-58-2,1.75,100,MeOH,400,70/30,10,2024-11-15_20-41-06.xlsx,C18,479,1883,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,479,1883
84-58-2,1.75,100,MeOH,400,60/40,10,2024-11-15_20-46-39.xlsx,C18,485,2290,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,485,2290
84-58-2,1.75,100,MeOH,400,50/50,10,2024-11-15_21-01-03.xlsx,C18,295,2167,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,295,2167
1125-88-8,1.014,100,DCM,400,90/10,10,2024-11-16_12-23-59.xlsx,C18,335,831,COC(C1=CC=CC=C1)OC,335,831
1125-88-8,1.014,100,DCM,400,80/20,10,2024-11-16_12-27-40.xlsx,C18,510,1161,COC(C1=CC=CC=C1)OC,510,1161
1125-88-8,1.014,100,DCM,400,70/30,10,2024-11-16_12-31-38.xlsx,C18,550,1343,COC(C1=CC=CC=C1)OC,550,1343
1125-88-8,1.014,100,DCM,400,60/40,10,2024-11-16_12-35-54.xlsx,C18,681,1530,COC(C1=CC=CC=C1)OC,681,1530
1125-88-8,1.014,100,DCM,400,50/50,10,2024-11-16_12-40-57.xlsx,C18,586,1959,COC(C1=CC=CC=C1)OC,586,1959
131818-17-2,1.398,100,MeOH,400,90/10,10,2024-11-16_12-59-14.xlsx,C18,647,1257,CC(C)(C)OC(=O)NC1=CC=C(C=C1)Br,647,1257
131818-17-2,1.398,100,MeOH,400,80/20,10,2024-11-16_13-03-16.xlsx,C18,557,1381,CC(C)(C)OC(=O)NC1=CC=C(C=C1)Br,557,1381
131818-17-2,1.398,100,MeOH,400,70/30,10,2024-11-16_13-08-28.xlsx,C18,638,2067,CC(C)(C)OC(=O)NC1=CC=C(C=C1)Br,638,2067
131818-17-2,1.398,100,MeOH,400,60/40,10,2024-11-16_13-14-52.xlsx,C18,729,2764,CC(C)(C)OC(=O)NC1=CC=C(C=C1)Br,729,2764
131818-17-2,1.398,100,MeOH,400,50/50,10,2024-11-16_13-25-52.xlsx,C18,1434,5502,CC(C)(C)OC(=O)NC1=CC=C(C=C1)Br,1434,5502
90-12-0,1.001,100,DCM,400,90/10,10,2024-11-16_13-42-50.xlsx,C18,606,2379,CC1=CC=CC2=CC=CC=C12,606,2379
90-12-0,1.001,100,DCM,400,80/20,10,2024-11-16_13-49-23.xlsx,C18,536,2868,CC1=CC=CC2=CC=CC=C12,536,2868
90-12-0,1.001,100,DCM,400,70/30,10,2024-11-16_13-53-00.xlsx,C18,586,1263,CC1=CC=CC2=CC=CC=C12,586,1263
90-12-0,1.001,100,DCM,400,60/40,10,2024-11-16_14-19-43.xlsx,C18,517,14876,CC1=CC=CC2=CC=CC=C12,517,14876
90-12-0,1.001,100,DCM,400,50/50,10,2024-11-16_14-50-18.xlsx,C18,-1,-1,CC1=CC=CC2=CC=CC=C12,-1,-1
615-13-4,1.0712,100,DCM,400,90/10,10,2024-11-16_14-59-34.xlsx,C18,205,1480,C1C(=O)CC2=CC=CC=C21,205,1480
615-13-4,1.0712,100,DCM,400,80/20,10,2024-11-16_15-03-26.xlsx,C18,500,1275,C1C(=O)CC2=CC=CC=C21,500,1275
615-13-4,1.0712,100,DCM,400,70/30,10,2024-11-16_15-07-40.xlsx,C18,509,1458,C1C(=O)CC2=CC=CC=C21,509,1458
615-13-4,1.0712,100,DCM,400,60/40,10,2024-11-16_15-11-53.xlsx,C18,516,1467,C1C(=O)CC2=CC=CC=C21,516,1467
615-13-4,1.0712,100,DCM,400,50/50,10,2024-11-16_15-17-37.xlsx,C18,1533,2363,C1C(=O)CC2=CC=CC=C21,1533,2363
198-55-0,1.35,100,DCM,800,90/10,10,2024-11-16_15-52-00.xlsx,C18,402,6584,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,402,6584
198-55-0,1.35,100,DCM,800,80/20,10,2024-11-16_16-23-53.xlsx,C18,4310,13979,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,4310,13979
104-53-0,1.019,100,DCM,400,90/10,10,2024-11-16_16-34-59.xlsx,C18,349,1302,C1=CC=C(C=C1)CCC=O,349,1302
104-53-0,1.019,100,DCM,400,80/20,10,2024-11-16_16-38-26.xlsx,C18,531,1003,C1=CC=C(C=C1)CCC=O,531,1003
104-53-0,1.019,100,DCM,400,70/30,10,2024-11-16_16-42-13.xlsx,C18,574,1230,C1=CC=C(C=C1)CCC=O,574,1230
104-53-0,1.019,100,DCM,400,60/40,10,2024-11-16_16-46-39.xlsx,C18,633,1620,C1=CC=C(C=C1)CCC=O,633,1620
104-53-0,1.019,100,DCM,400,50/50,10,2024-11-16_16-52-57.xlsx,C18,911,2713,C1=CC=C(C=C1)CCC=O,911,2713
830-09-1,1.1479,100,MeOH,800,90/10,10,2024-11-16_17-17-05.xlsx,C18,421,3394,COC1=CC=C(C=C1)/C=C/C(=O)O,421,3394
830-09-1,1.1479,100,MeOH,800,80/20,10,2024-11-16_17-20-42.xlsx,C18,503,1131,COC1=CC=C(C=C1)/C=C/C(=O)O,503,1131
830-09-1,1.1479,100,MeOH,800,70/30,10,2024-11-16_17-24-39.xlsx,C18,499,1313,COC1=CC=C(C=C1)/C=C/C(=O)O,499,1313
830-09-1,1.1479,100,MeOH,800,60/40,10,2024-11-16_17-29-16.xlsx,C18,496,1740,COC1=CC=C(C=C1)/C=C/C(=O)O,496,1740
830-09-1,1.1479,100,MeOH,800,50/50,10,2024-11-16_17-35-48.xlsx,C18,500,2885,COC1=CC=C(C=C1)/C=C/C(=O)O,500,2885
26537-19-9,0.995,100,DCM,400,90/10,10,2024-11-16_19-04-56.xlsx,C18,412,2028,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,412,2028
26537-19-9,0.995,100,DCM,400,80/20,10,2024-11-16_19-10-23.xlsx,C18,518,2213,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,518,2213
26537-19-9,0.995,100,DCM,400,70/30,10,2024-11-16_19-20-53.xlsx,C18,1167,5222,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,1167,5222
26537-19-9,0.995,100,DCM,400,60/40,10,2024-11-16_19-45-27.xlsx,C18,4376,13617,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,4376,13617
626-34-6,1.022,100,DCM,400,90/10,10,2024-11-16_19-51-38.xlsx,C18,227,2466,CCOC(=O)/C=C(/C)\N,227,2466
626-34-6,1.022,100,DCM,400,80/20,10,2024-11-16_19-56-20.xlsx,C18,491,1775,CCOC(=O)/C=C(/C)\N,491,1775
626-34-6,1.022,100,DCM,400,70/30,10,2024-11-16_20-01-18.xlsx,C18,504,1944,CCOC(=O)/C=C(/C)\N,504,1944
626-34-6,1.022,100,DCM,400,60/40,10,2024-11-16_20-16-49.xlsx,C18,521,2347,CCOC(=O)/C=C(/C)\N,521,2347
626-34-6,1.022,100,DCM,400,50/50,10,2024-11-16_20-24-12.xlsx,C18,524,3374,CCOC(=O)/C=C(/C)\N,524,3374
66-99-9,1.6211,100,MeOH,400,90/10,10,2024-11-16_20-28-49.xlsx,C18,407,1309,C1=CC=C2C=C(C=CC2=C1)C=O,407,1309
66-99-9,1.6211,100,MeOH,400,80/20,10,2024-11-16_20-33-17.xlsx,C18,531,1613,C1=CC=C2C=C(C=CC2=C1)C=O,531,1613
66-99-9,1.6211,100,MeOH,400,70/30,10,2024-11-16_20-38-54.xlsx,C18,517,2339,C1=CC=C2C=C(C=CC2=C1)C=O,517,2339
66-99-9,1.6211,100,MeOH,400,60/40,10,2024-11-16_20-48-17.xlsx,C18,743,4557,C1=CC=C2C=C(C=CC2=C1)C=O,743,4557
66-99-9,1.6211,100,MeOH,400,50/50,10,2024-11-16_20-52-29.xlsx,C18,940,1455,C1=CC=C2C=C(C=CC2=C1)C=O,940,1455
637-59-2,1.31,100,DCM,400,90/10,10,2024-11-18_16-58-44.xlsx,C18,559,1285,C1=CC=C(C=C1)CCCBr,559,1285
637-59-2,1.31,100,DCM,400,80/20,10,2024-11-18_17-04-11.xlsx,C18,610,2225,C1=CC=C(C=C1)CCCBr,610,2225
637-59-2,1.31,100,DCM,400,70/30,10,2024-11-18_17-15-20.xlsx,C18,2732,5619,C1=CC=C(C=C1)CCCBr,2732,5619
637-59-2,1.31,100,DCM,400,60/40,10,2024-11-18_17-39-38.xlsx,C18,7966,13494,C1=CC=C(C=C1)CCCBr,7966,13494
122-97-4,1.001,100,DCM,400,90/10,10,2024-11-18_18-50-44.xlsx,C18,544,1017,C1=CC=C(C=C1)CCCO,544,1017
122-97-4,1.001,100,DCM,400,80/20,10,2024-11-18_18-59-31.xlsx,C18,342,849,C1=CC=C(C=C1)CCCO,342,849
122-97-4,1.001,100,DCM,400,70/30,10,2024-11-18_19-03-13.xlsx,C18,544,1190,C1=CC=C(C=C1)CCCO,544,1190
122-97-4,1.001,100,DCM,400,60/40,10,2024-11-18_19-07-35.xlsx,C18,570,1563,C1=CC=C(C=C1)CCCO,570,1563
122-97-4,1.001,100,DCM,400,50/50,10,2024-11-18_19-12-02.xlsx,C18,669,1632,C1=CC=C(C=C1)CCCO,669,1632
624-48-6,1.152,100,DCM,400,90/10,10,2024-11-18_19-30-28.xlsx,C18,495,1009,COC(=O)/C=C\C(=O)OC,495,1009
624-48-6,1.152,100,DCM,400,80/20,10,2024-11-18_19-33-35.xlsx,C18,503,835,COC(=O)/C=C\C(=O)OC,503,835
624-48-6,1.152,100,DCM,400,70/30,10,2024-11-18_19-37-02.xlsx,C18,515,1017,COC(=O)/C=C\C(=O)OC,515,1017
624-48-6,1.152,100,DCM,400,60/40,10,2024-11-18_19-40-34.xlsx,C18,541,1085,COC(=O)/C=C\C(=O)OC,541,1085
624-48-6,1.152,100,DCM,400,50/50,10,2024-11-18_19-45-46.xlsx,C18,549,2050,COC(=O)/C=C\C(=O)OC,549,2050
15486-19-8,1.267,100,MeOH,800,90/10,10,2024-11-18_19-50-36.xlsx,C18,275,1082,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,275,1082
15486-19-8,1.267,100,MeOH,800,80/20,10,2024-11-18_19-54-18.xlsx,C18,492,1177,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,492,1177
15486-19-8,1.267,100,MeOH,800,70/30,10,2024-11-18_19-58-15.xlsx,C18,488,1331,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,488,1331
15486-19-8,1.267,100,MeOH,800,60/40,10,2024-11-18_20-02-17.xlsx,C18,500,1354,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,500,1354
15486-19-8,1.267,100,MeOH,800,50/50,10,2024-11-18_20-07-29.xlsx,C18,492,2090,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,492,2090
330793-01-6,1.07,100,MeOH,800,90/10,10,2024-11-18_20-16-33.xlsx,C18,295,2037,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)NC(=O)OC(C)(C)C,295,2037
330793-01-6,1.07,100,MeOH,800,80/20,10,2024-11-18_20-22-15.xlsx,C18,519,2352,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)NC(=O)OC(C)(C)C,519,2352
330793-01-6,1.07,100,MeOH,800,70/30,10,2024-11-18_20-32-29.xlsx,C18,512,5096,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)NC(=O)OC(C)(C)C,512,5096
330793-01-6,1.07,100,MeOH,800,60/40,10,2024-11-18_20-36-36.xlsx,C18,902,1437,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)NC(=O)OC(C)(C)C,902,1437
330793-01-6,1.07,100,MeOH,800,50/50,10,2024-11-18_20-40-38.xlsx,C18,909,1351,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)NC(=O)OC(C)(C)C,909,1351
62-53-3,1.022,100,DCM,400,90/10,10,2024-11-18_20-59-11.xlsx,C18,296,1684,C1=CC=C(C=C1)N,296,1684
62-53-3,1.022,100,DCM,400,80/20,10,2024-11-18_21-02-38.xlsx,C18,502,1035,C1=CC=C(C=C1)N,502,1035
62-53-3,1.022,100,DCM,400,70/30,10,2024-11-18_21-06-35.xlsx,C18,506,1344,C1=CC=C(C=C1)N,506,1344
62-53-3,1.022,100,DCM,400,60/40,10,2024-11-18_21-10-06.xlsx,C18,525,1069,C1=CC=C(C=C1)N,525,1069
62-53-3,1.022,100,DCM,400,50/50,10,2024-11-18_21-14-48.xlsx,C18,545,1759,C1=CC=C(C=C1)N,545,1759
101-97-3,1.03,100,DCM,400,90/10,10,2024-11-19_10-32-43.xlsx,C18,327,797,CCOC(=O)CC1=CC=CC=C1,327,797
