CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
108-48-5,"2,6-Lutidine",0.99,0.92,100,DCM,300,5/1,10,2023-08-09_13-54-35.xlsx,Silica-CS 4g,2235,5580,CC1=NC(=CC=C1)C,2235,5580
108-48-5,"2,6-Lutidine",0.99,0.92,150,DCM,300,5/1,10,2023-08-09_14-05-49.xlsx,Silica-CS 4g,1966,5571,CC1=NC(=CC=C1)C,1966,5571
108-48-5,"2,6-Lutidine",0.99,0.92,50,DCM,300,10/1,10,2023-08-09_14-22-09.xlsx,Silica-CS 4g,4673,8527,CC1=NC(=CC=C1)C,4673,8527
108-48-5,"2,6-Lutidine",0.99,0.92,100,DCM,300,10/1,10,2023-08-09_14-38-19.xlsx,Silica-CS 4g,3492,8330,CC1=NC(=CC=C1)C,3492,8330
108-48-5,"2,6-Lutidine",0.99,0.92,150,DCM,300,10/1,10,2023-08-09_14-54-39.xlsx,Silica-CS 4g,3076,8622,CC1=NC(=CC=C1)C,3076,8622
108-48-5,"2,6-Lutidine",0.99,0.92,50,DCM,300,20/1,10,2023-08-09_16-10-00.xlsx,Silica-CS 4g,8032,15184,CC1=NC(=CC=C1)C,8032,15184
108-48-5,"2,6-Lutidine",0.99,0.92,100,DCM,300,20/1,10,2023-08-09_16-36-13.xlsx,Silica-CS 4g,5961,14470,CC1=NC(=CC=C1)C,5961,14470
108-48-5,"2,6-Lutidine",0.99,0.92,150,DCM,300,20/1,10,2023-08-09_17-02-05.xlsx,Silica-CS 4g,5217,14231,CC1=NC(=CC=C1)C,5217,14231
768-56-9,4-Phenyl-1-butene,0.98,0.88,50,PE,300,0/1,10,2023-08-09_17-36-15.xlsx,Silica-CS 4g,474,774,C=CCCC1=CC=CC=C1,474,774
768-56-9,4-Phenyl-1-butene,0.98,0.88,100,PE,300,0/1,10,2023-08-09_17-39-31.xlsx,Silica-CS 4g,526,909,C=CCCC1=CC=CC=C1,526,909
768-56-9,4-Phenyl-1-butene,0.98,0.88,150,PE,300,0/1,10,2023-08-09_17-42-52.xlsx,Silica-CS 4g,523,978,C=CCCC1=CC=CC=C1,523,978
768-56-9,4-Phenyl-1-butene,0.98,0.88,50,PE,300,1/1,10,2023-08-09_17-46-28.xlsx,Silica-CS 4g,662,951,C=CCCC1=CC=CC=C1,662,951
768-56-9,4-Phenyl-1-butene,0.98,0.88,100,PE,300,1/1,10,2023-08-09_17-49-54.xlsx,Silica-CS 4g,528,1062,C=CCCC1=CC=CC=C1,528,1062
768-56-9,4-Phenyl-1-butene,0.98,0.88,150,PE,300,1/1,10,2023-08-09_17-53-25.xlsx,Silica-CS 4g,507,1163,C=CCCC1=CC=CC=C1,507,1163
768-56-9,4-Phenyl-1-butene,0.98,0.88,50,PE,300,2/1,10,2023-08-09_17-57-06.xlsx,Silica-CS 4g,684,975,C=CCCC1=CC=CC=C1,684,975
768-56-9,4-Phenyl-1-butene,0.98,0.88,100,PE,300,2/1,10,2023-08-09_18-00-37.xlsx,Silica-CS 4g,538,1026,C=CCCC1=CC=CC=C1,538,1026
768-56-9,4-Phenyl-1-butene,0.98,0.88,150,PE,300,2/1,10,2023-08-09_18-04-08.xlsx,Silica-CS 4g,537,1084,C=CCCC1=CC=CC=C1,537,1084
768-56-9,4-Phenyl-1-butene,0.98,0.88,50,PE,300,5/1,10,2023-08-09_18-07-44.xlsx,Silica-CS 4g,703,934,C=CCCC1=CC=CC=C1,703,934
768-56-9,4-Phenyl-1-butene,0.98,0.88,100,PE,300,5/1,10,2023-08-09_18-10-50.xlsx,Silica-CS 4g,539,886,C=CCCC1=CC=CC=C1,539,886
768-56-9,4-Phenyl-1-butene,0.98,0.88,150,PE,300,5/1,10,2023-08-09_18-14-01.xlsx,Silica-CS 4g,551,859,C=CCCC1=CC=CC=C1,551,859
768-56-9,4-Phenyl-1-butene,0.98,0.88,50,PE,300,10/1,10,2023-08-09_18-17-37.xlsx,Silica-CS 4g,694,951,C=CCCC1=CC=CC=C1,694,951
768-56-9,4-Phenyl-1-butene,0.98,0.88,100,PE,300,10/1,10,2023-08-09_18-20-48.xlsx,Silica-CS 4g,568,859,C=CCCC1=CC=CC=C1,568,859
768-56-9,4-Phenyl-1-butene,0.98,0.88,150,PE,300,10/1,10,2023-08-09_18-23-59.xlsx,Silica-CS 4g,563,880,C=CCCC1=CC=CC=C1,563,880
768-56-9,4-Phenyl-1-butene,0.98,0.88,50,PE,300,20/1,10,2023-08-09_18-27-40.xlsx,Silica-CS 4g,692,993,C=CCCC1=CC=CC=C1,692,993
768-56-9,4-Phenyl-1-butene,0.98,0.88,100,PE,300,20/1,10,2023-08-09_18-30-51.xlsx,Silica-CS 4g,584,878,C=CCCC1=CC=CC=C1,584,878
768-56-9,4-Phenyl-1-butene,0.98,0.88,150,PE,300,20/1,10,2023-08-09_18-34-02.xlsx,Silica-CS 4g,572,926,C=CCCC1=CC=CC=C1,572,926
768-56-9,4-Phenyl-1-butene,0.98,0.88,50,PE,300,50/1,10,2023-08-09_18-37-43.xlsx,Silica-CS 4g,732,974,C=CCCC1=CC=CC=C1,732,974
768-56-9,4-Phenyl-1-butene,0.98,0.88,100,PE,300,50/1,10,2023-08-09_18-40-59.xlsx,Silica-CS 4g,595,903,C=CCCC1=CC=CC=C1,595,903
768-56-9,4-Phenyl-1-butene,0.98,0.88,150,PE,300,50/1,10,2023-08-09_18-47-26.xlsx,Silica-CS 4g,541,881,C=CCCC1=CC=CC=C1,541,881
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,50,PE,300,0/1,10,2023-08-09_19-12-47.xlsx,Silica-CS 4g,787,1127,CC(C)(CCC1=CC=CC=C1)O,787,1127
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,100,PE,300,0/1,10,2023-08-09_19-16-13.xlsx,Silica-CS 4g,622,1064,CC(C)(CCC1=CC=CC=C1)O,622,1064
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,150,PE,300,0/1,10,2023-08-09_19-19-44.xlsx,Silica-CS 4g,630,1082,CC(C)(CCC1=CC=CC=C1)O,630,1082
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,50,PE,300,1/1,10,2023-08-09_19-24-05.xlsx,Silica-CS 4g,876,1396,CC(C)(CCC1=CC=CC=C1)O,876,1396
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,100,PE,300,1/1,10,2023-08-09_19-28-10.xlsx,Silica-CS 4g,821,1421,CC(C)(CCC1=CC=CC=C1)O,821,1421
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,150,PE,300,1/1,10,2023-08-09_19-32-11.xlsx,Silica-CS 4g,791,1374,CC(C)(CCC1=CC=CC=C1)O,791,1374
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,50,PE,300,2/1,10,2023-08-09_19-44-44.xlsx,Silica-CS 4g,1293,1904,CC(C)(CCC1=CC=CC=C1)O,1293,1904
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,100,PE,300,2/1,10,2023-08-09_19-49-20.xlsx,Silica-CS 4g,1047,1739,CC(C)(CCC1=CC=CC=C1)O,1047,1739
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,150,PE,300,2/1,10,2023-08-09_20-01-51.xlsx,Silica-CS 4g,926,1700,CC(C)(CCC1=CC=CC=C1)O,926,1700
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,50,PE,300,5/1,10,2023-08-09_20-09-39.xlsx,Silica-CS 4g,2270,3435,CC(C)(CCC1=CC=CC=C1)O,2270,3435
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,100,PE,300,5/1,10,2023-08-09_20-16-56.xlsx,Silica-CS 4g,1839,3531,CC(C)(CCC1=CC=CC=C1)O,1839,3531
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,150,PE,300,5/1,10,2023-08-09_20-24-13.xlsx,Silica-CS 4g,1681,3327,CC(C)(CCC1=CC=CC=C1)O,1681,3327
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,50,PE,300,10/1,10,2023-08-09_20-36-41.xlsx,Silica-CS 4g,4521,6952,CC(C)(CCC1=CC=CC=C1)O,4521,6952
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,100,PE,300,10/1,10,2023-08-09_20-48-49.xlsx,Silica-CS 4g,3674,6980,CC(C)(CCC1=CC=CC=C1)O,3674,6980
103-05-9,2-METHYL-4-PHENYL-2-BUTANOL,0.98,0.966,150,PE,300,10/1,10,2023-08-09_21-01-03.xlsx,Silica-CS 4g,3149,6681,CC(C)(CCC1=CC=CC=C1)O,3149,6681
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,50,PE,300,0/1,10,2023-08-10_10-23-47.xlsx,Silica-CS 4g,841,1315,CC(C1=CC=CC=C1)O,841,1315
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,100,PE,300,0/1,10,2023-08-10_10-27-18.xlsx,Silica-CS 4g,614,1082,CC(C1=CC=CC=C1)O,614,1082
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,150,PE,300,0/1,10,2023-08-10_10-30-59.xlsx,Silica-CS 4g,603,1192,CC(C1=CC=CC=C1)O,603,1192
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,50,PE,300,1/1,10,2023-08-10_10-35-14.xlsx,Silica-CS 4g,769,1324,CC(C1=CC=CC=C1)O,769,1324
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,100,PE,300,1/1,10,2023-08-10_10-39-10.xlsx,Silica-CS 4g,686,1332,CC(C1=CC=CC=C1)O,686,1332
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,150,PE,300,1/1,10,2023-08-10_10-43-06.xlsx,Silica-CS 4g,686,1305,CC(C1=CC=CC=C1)O,686,1305
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,50,PE,300,2/1,10,2023-08-10_11-04-10.xlsx,Silica-CS 4g,1611,2459,CC(C1=CC=CC=C1)O,1611,2459
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,100,PE,300,2/1,10,2023-08-10_11-10-01.xlsx,Silica-CS 4g,1481,2639,CC(C1=CC=CC=C1)O,1481,2639
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,150,PE,300,2/1,10,2023-08-10_11-15-58.xlsx,Silica-CS 4g,1418,2614,CC(C1=CC=CC=C1)O,1418,2614
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,50,PE,300,5/1,10,2023-08-10_11-38-20.xlsx,Silica-CS 4g,3545,5683,CC(C1=CC=CC=C1)O,3545,5683
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,100,PE,300,5/1,10,2023-08-10_11-43-01.xlsx,Silica-CS 4g,1232,1867,CC(C1=CC=CC=C1)O,1232,1867
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,150,PE,300,5/1,10,2023-08-10_11-48-38.xlsx,Silica-CS 4g,322,2326,CC(C1=CC=CC=C1)O,322,2326
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,50,PE,300,10/1,10,2023-08-10_13-05-35.xlsx,Silica-CS 4g,1333,1903,CC(C1=CC=CC=C1)O,1333,1903
98-85-1,DL-1-Phenethylalcohol,0.98,1.012,100,PE,300,10/1,10,2023-08-10_13-11-00.xlsx,Silica-CS 4g,365,2069,CC(C1=CC=CC=C1)O,365,2069
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,50,PE,300,0/1,10,2023-08-10_13-58-29.xlsx,Silica-CS 4g,794,1146,C1=CC=C(C=C1)CCCl,794,1146
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,100,PE,300,0/1,10,2023-08-10_14-02-09.xlsx,Silica-CS 4g,591,1105,C1=CC=C(C=C1)CCCl,591,1105
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,150,PE,300,0/1,10,2023-08-10_14-05-55.xlsx,Silica-CS 4g,628,1228,C1=CC=C(C=C1)CCCl,628,1228
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,50,PE,300,1/1,10,2023-08-10_14-09-46.xlsx,Silica-CS 4g,790,1080,C1=CC=C(C=C1)CCCl,790,1080
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,100,PE,300,1/1,10,2023-08-10_14-13-07.xlsx,Silica-CS 4g,639,978,C1=CC=C(C=C1)CCCl,639,978
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,150,PE,300,1/1,10,2023-08-10_14-16-32.xlsx,Silica-CS 4g,656,1014,C1=CC=C(C=C1)CCCl,656,1014
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,50,PE,300,2/1,10,2023-08-10_14-20-33.xlsx,Silica-CS 4g,814,1207,C1=CC=C(C=C1)CCCl,814,1207
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,100,PE,300,2/1,10,2023-08-10_14-23-59.xlsx,Silica-CS 4g,667,1030,C1=CC=C(C=C1)CCCl,667,1030
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,150,PE,300,2/1,10,2023-08-10_14-27-34.xlsx,Silica-CS 4g,657,1123,C1=CC=C(C=C1)CCCl,657,1123
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,50,PE,300,5/1,10,2023-08-10_14-31-35.xlsx,Silica-CS 4g,849,1195,C1=CC=C(C=C1)CCCl,849,1195
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,100,PE,300,5/1,10,2023-08-10_14-35-11.xlsx,Silica-CS 4g,705,1097,C1=CC=C(C=C1)CCCl,705,1097
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,150,PE,300,5/1,10,2023-08-10_14-38-46.xlsx,Silica-CS 4g,724,1135,C1=CC=C(C=C1)CCCl,724,1135
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,50,PE,300,10/1,10,2023-08-10_14-42-52.xlsx,Silica-CS 4g,870,1230,C1=CC=C(C=C1)CCCl,870,1230
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,100,PE,300,10/1,10,2023-08-10_14-46-48.xlsx,Silica-CS 4g,714,1303,C1=CC=C(C=C1)CCCl,714,1303
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,150,PE,300,10/1,10,2023-08-10_14-50-19.xlsx,Silica-CS 4g,630,1103,C1=CC=C(C=C1)CCCl,630,1103
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,50,PE,300,20/1,10,2023-08-10_14-54-19.xlsx,Silica-CS 4g,825,1149,C1=CC=C(C=C1)CCCl,825,1149
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,100,PE,300,20/1,10,2023-08-10_14-58-00.xlsx,Silica-CS 4g,718,1192,C1=CC=C(C=C1)CCCl,718,1192
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,150,PE,300,20/1,10,2023-08-10_15-01-36.xlsx,Silica-CS 4g,665,1112,C1=CC=C(C=C1)CCCl,665,1112
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,50,PE,300,50/1,10,2023-08-10_15-05-42.xlsx,Silica-CS 4g,855,1203,C1=CC=C(C=C1)CCCl,855,1203
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,100,PE,300,50/1,10,2023-08-10_15-09-22.xlsx,Silica-CS 4g,684,1190,C1=CC=C(C=C1)CCCl,684,1190
622-24-2,(2-Chloroethyl)benzen,0.98,1.069,150,PE,300,50/1,10,2023-08-10_15-13-08.xlsx,Silica-CS 4g,668,1225,C1=CC=C(C=C1)CCCl,668,1225
623-12-1,4-Chloroanisole,0.98,1.164,50,PE,300,0/1,10,2023-08-10_15-38-46.xlsx,Silica-CS 4g,704,981,COC1=CC=C(C=C1)Cl,704,981
623-12-1,4-Chloroanisole,0.98,1.164,100,PE,300,0/1,10,2023-08-10_15-42-02.xlsx,Silica-CS 4g,568,917,COC1=CC=C(C=C1)Cl,568,917
623-12-1,4-Chloroanisole,0.98,1.164,150,PE,300,0/1,10,2023-08-10_15-52-07.xlsx,Silica-CS 4g,508,1241,COC1=CC=C(C=C1)Cl,508,1241
623-12-1,4-Chloroanisole,0.98,1.164,50,PE,300,1/1,10,2023-08-10_15-56-15.xlsx,Silica-CS 4g,541,829,COC1=CC=C(C=C1)Cl,541,829
623-12-1,4-Chloroanisole,0.98,1.164,100,PE,300,1/1,10,2023-08-10_15-59-31.xlsx,Silica-CS 4g,593,925,COC1=CC=C(C=C1)Cl,593,925
623-12-1,4-Chloroanisole,0.98,1.164,150,PE,300,1/1,10,2023-08-10_16-02-52.xlsx,Silica-CS 4g,593,951,COC1=CC=C(C=C1)Cl,593,951
623-12-1,4-Chloroanisole,0.98,1.164,50,PE,300,2/1,10,2023-08-10_16-06-47.xlsx,Silica-CS 4g,760,1101,COC1=CC=C(C=C1)Cl,760,1101
623-12-1,4-Chloroanisole,0.98,1.164,100,PE,300,2/1,10,2023-08-10_16-10-08.xlsx,Silica-CS 4g,631,983,COC1=CC=C(C=C1)Cl,631,983
623-12-1,4-Chloroanisole,0.98,1.164,150,PE,300,2/1,10,2023-08-10_16-13-34.xlsx,Silica-CS 4g,611,1054,COC1=CC=C(C=C1)Cl,611,1054
623-12-1,4-Chloroanisole,0.98,1.164,50,PE,300,5/1,10,2023-08-10_16-17-39.xlsx,Silica-CS 4g,788,1247,COC1=CC=C(C=C1)Cl,788,1247
623-12-1,4-Chloroanisole,0.98,1.164,100,PE,300,5/1,10,2023-08-10_16-21-15.xlsx,Silica-CS 4g,660,1201,COC1=CC=C(C=C1)Cl,660,1201
623-12-1,4-Chloroanisole,0.98,1.164,150,PE,300,5/1,10,2023-08-10_16-24-51.xlsx,Silica-CS 4g,671,1213,COC1=CC=C(C=C1)Cl,671,1213
623-12-1,4-Chloroanisole,0.98,1.164,50,PE,300,10/1,10,2023-08-10_16-29-07.xlsx,Silica-CS 4g,873,1391,COC1=CC=C(C=C1)Cl,873,1391
623-12-1,4-Chloroanisole,0.98,1.164,100,PE,300,10/1,10,2023-08-10_16-32-57.xlsx,Silica-CS 4g,753,1330,COC1=CC=C(C=C1)Cl,753,1330
623-12-1,4-Chloroanisole,0.98,1.164,150,PE,300,10/1,10,2023-08-10_16-36-53.xlsx,Silica-CS 4g,715,1373,COC1=CC=C(C=C1)Cl,715,1373
623-12-1,4-Chloroanisole,0.98,1.164,50,PE,300,20/1,10,2023-08-10_16-41-24.xlsx,Silica-CS 4g,952,1579,COC1=CC=C(C=C1)Cl,952,1579
623-12-1,4-Chloroanisole,0.98,1.164,100,PE,300,20/1,10,2023-08-10_16-45-30.xlsx,Silica-CS 4g,834,1544,COC1=CC=C(C=C1)Cl,834,1544
623-12-1,4-Chloroanisole,0.98,1.164,150,PE,300,20/1,10,2023-08-10_16-49-41.xlsx,Silica-CS 4g,757,1515,COC1=CC=C(C=C1)Cl,757,1515
623-12-1,4-Chloroanisole,0.98,1.164,50,PE,300,50/1,10,2023-08-10_16-54-37.xlsx,Silica-CS 4g,1054,1791,COC1=CC=C(C=C1)Cl,1054,1791
623-12-1,4-Chloroanisole,0.98,1.164,100,PE,300,50/1,10,2023-08-10_16-59-08.xlsx,Silica-CS 4g,877,1803,COC1=CC=C(C=C1)Cl,877,1803
623-12-1,4-Chloroanisole,0.98,1.164,150,PE,300,50/1,10,2023-08-10_17-03-44.xlsx,Silica-CS 4g,812,1751,COC1=CC=C(C=C1)Cl,812,1751
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,50,PE,300,0/1,10,2023-08-10_19-52-02.xlsx,Silica-CS 4g,463,971,C1=CC(=CC=C1O)OC(F)(F)F,463,971
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,100,PE,300,0/1,10,2023-08-10_19-56-03.xlsx,Silica-CS 4g,538,1111,C1=CC(=CC=C1O)OC(F)(F)F,538,1111
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,150,PE,300,0/1,10,2023-08-10_20-00-14.xlsx,Silica-CS 4g,541,1552,C1=CC(=CC=C1O)OC(F)(F)F,541,1552
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,50,PE,300,1/1,10,2023-08-10_17-15-43.xlsx,Silica-CS 4g,627,1153,C1=CC(=CC=C1O)OC(F)(F)F,627,1153
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,100,PE,300,1/1,10,2023-08-10_17-19-14.xlsx,Silica-CS 4g,641,1119,C1=CC(=CC=C1O)OC(F)(F)F,641,1119
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,150,PE,300,1/1,10,2023-08-10_17-22-45.xlsx,Silica-CS 4g,648,1086,C1=CC(=CC=C1O)OC(F)(F)F,648,1086
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,50,PE,300,2/1,10,2023-08-10_17-27-01.xlsx,Silica-CS 4g,861,1342,C1=CC(=CC=C1O)OC(F)(F)F,861,1342
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,100,PE,300,2/1,10,2023-08-10_17-30-51.xlsx,Silica-CS 4g,2622,2628,C1=CC(=CC=C1O)OC(F)(F)F,2622,2628
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,150,PE,300,2/1,10,2023-08-10_17-34-42.xlsx,Silica-CS 4g,707,1342,C1=CC(=CC=C1O)OC(F)(F)F,707,1342
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,50,PE,300,5/1,10,2023-08-10_17-39-58.xlsx,Silica-CS 4g,1149,1973,C1=CC(=CC=C1O)OC(F)(F)F,1149,1973
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,100,PE,300,5/1,10,2023-08-10_17-44-59.xlsx,Silica-CS 4g,990,1975,C1=CC(=CC=C1O)OC(F)(F)F,990,1975
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,150,PE,300,5/1,10,2023-08-10_17-50-01.xlsx,Silica-CS 4g,894,2046,C1=CC(=CC=C1O)OC(F)(F)F,894,2046
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,50,PE,300,10/1,10,2023-08-10_17-57-37.xlsx,Silica-CS 4g,1865,3327,C1=CC(=CC=C1O)OC(F)(F)F,1865,3327
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,100,PE,300,10/1,10,2023-08-10_18-04-54.xlsx,Silica-CS 4g,1381,3253,C1=CC(=CC=C1O)OC(F)(F)F,1381,3253
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,150,PE,300,10/1,10,2023-08-10_18-12-11.xlsx,Silica-CS 4g,1198,3441,C1=CC(=CC=C1O)OC(F)(F)F,1198,3441
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,50,PE,300,20/1,10,2023-08-10_18-24-19.xlsx,Silica-CS 4g,3230,6467,C1=CC(=CC=C1O)OC(F)(F)F,3230,6467
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,100,PE,300,20/1,10,2023-08-10_18-36-03.xlsx,Silica-CS 4g,2257,6201,C1=CC(=CC=C1O)OC(F)(F)F,2257,6201
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,150,PE,300,20/1,10,2023-08-10_18-47-41.xlsx,Silica-CS 4g,1731,6099,C1=CC(=CC=C1O)OC(F)(F)F,1731,6099
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,50,PE,300,50/1,10,2023-08-10_19-09-58.xlsx,Silica-CS 4g,7708,13070,C1=CC(=CC=C1O)OC(F)(F)F,7708,13070
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,100,PE,300,50/1,10,2023-08-10_19-29-35.xlsx,Silica-CS 4g,5297,9978,C1=CC(=CC=C1O)OC(F)(F)F,5297,9978
828-27-3,4-(Trifluoromethoxy)phenol,0.998,1.375,150,PE,300,50/1,10,2023-08-10_19-47-50.xlsx,Silica-CS 4g,3671,10277,C1=CC(=CC=C1O)OC(F)(F)F,3671,10277
100-66-3,Anisole,0.99,0.995,50,PE,300,0/1,10,2023-08-10_20-20-33.xlsx,Silica-CS 4g,672,1144,COC1=CC=CC=C1,672,1144
100-66-3,Anisole,0.99,0.995,100,PE,300,0/1,10,2023-08-10_20-23-54.xlsx,Silica-CS 4g,545,970,COC1=CC=CC=C1,545,970
100-66-3,Anisole,0.99,0.995,150,PE,300,0/1,10,2023-08-10_20-27-59.xlsx,Silica-CS 4g,524,1385,COC1=CC=CC=C1,524,1385
100-66-3,Anisole,0.99,0.995,50,PE,300,1/1,10,2023-08-10_20-31-50.xlsx,Silica-CS 4g,681,1186,COC1=CC=CC=C1,681,1186
100-66-3,Anisole,0.99,0.995,100,PE,300,1/1,10,2023-08-10_20-35-26.xlsx,Silica-CS 4g,578,1131,COC1=CC=CC=C1,578,1131
100-66-3,Anisole,0.99,0.995,150,PE,300,1/1,10,2023-08-10_20-39-02.xlsx,Silica-CS 4g,589,1224,COC1=CC=CC=C1,589,1224
100-66-3,Anisole,0.99,0.995,50,PE,300,2/1,10,2023-08-10_20-42-57.xlsx,Silica-CS 4g,753,1197,COC1=CC=CC=C1,753,1197
100-66-3,Anisole,0.99,0.995,100,PE,300,2/1,10,2023-08-10_20-46-28.xlsx,Silica-CS 4g,622,1078,COC1=CC=CC=C1,622,1078
100-66-3,Anisole,0.99,0.995,150,PE,300,2/1,10,2023-08-10_20-49-59.xlsx,Silica-CS 4g,611,1092,COC1=CC=CC=C1,611,1092
100-66-3,Anisole,0.99,0.995,50,PE,300,5/1,10,2023-08-10_21-00-56.xlsx,Silica-CS 4g,787,1294,COC1=CC=CC=C1,787,1294
100-66-3,Anisole,0.99,0.995,100,PE,300,5/1,10,2023-08-10_21-04-31.xlsx,Silica-CS 4g,660,1219,COC1=CC=CC=C1,660,1219
100-66-3,Anisole,0.99,0.995,150,PE,300,5/1,10,2023-08-10_21-08-12.xlsx,Silica-CS 4g,647,1153,COC1=CC=CC=C1,647,1153
100-66-3,Anisole,0.99,0.995,50,PE,300,10/1,10,2023-08-10_21-54-16.xlsx,Silica-CS 4g,687,1148,COC1=CC=CC=C1,687,1148
100-66-3,Anisole,0.99,0.995,100,PE,300,10/1,10,2023-08-10_21-58-07.xlsx,Silica-CS 4g,712,1283,COC1=CC=CC=C1,712,1283
100-66-3,Anisole,0.99,0.995,150,PE,300,10/1,10,2023-08-10_22-02-04.xlsx,Silica-CS 4g,689,1320,COC1=CC=CC=C1,689,1320
100-66-3,Anisole,0.99,0.995,50,PE,300,20/1,10,2023-08-10_22-06-25.xlsx,Silica-CS 4g,895,1408,COC1=CC=CC=C1,895,1408
100-66-3,Anisole,0.99,0.995,100,PE,300,20/1,10,2023-08-10_22-10-31.xlsx,Silica-CS 4g,745,1421,COC1=CC=CC=C1,745,1421
100-66-3,Anisole,0.99,0.995,150,PE,300,20/1,10,2023-08-10_22-14-38.xlsx,Silica-CS 4g,721,1434,COC1=CC=CC=C1,721,1434
100-66-3,Anisole,0.99,0.995,50,PE,300,50/1,10,2023-08-10_22-19-14.xlsx,Silica-CS 4g,947,1534,COC1=CC=CC=C1,947,1534
100-66-3,Anisole,0.99,0.995,100,PE,300,50/1,10,2023-08-10_22-23-46.xlsx,Silica-CS 4g,765,1672,COC1=CC=CC=C1,765,1672
100-66-3,Anisole,0.99,0.995,150,PE,300,50/1,10,2023-08-10_22-28-27.xlsx,Silica-CS 4g,732,1789,COC1=CC=CC=C1,732,1789
106-43-4,4-Chlorotoluene,0.97,1.07,50,PE,300,0/1,10,2023-08-11_09-10-10.xlsx,Silica-CS 4g,490,827,CC1=CC=C(C=C1)Cl,490,827
